Benchmark,purecap-hw,purecap-sw,purecap-hw-sw,purecap-nocheck,native-sw,native-nocheck
nbody.wasm,0.01,0.01,0.00
test_print.wasm,0.00,0.00,0.00
binarytrees.wasm,10.76;10.76;10.76;10.75;10.76;10.77;10.76,10.78;10.78,10.77;10.77;10.76;10.77;10.77;4.57;4.53,,4.51;4.55;4.54;4.53;4.53,4.59;4.51;4.52;4.51;4.52
fann.wasm,7.93;7.93;7.93;7.93;7.93;7.93;7.93,7.95;7.95,7.95;7.95;7.95;7.95;7.95;3.26;3.34,,3.35;3.35;3.36;3.34;3.26,3.35;3.34;3.33;3.33;3.34
mandelbrot.wasm,7.10;7.10;7.10;7.10;7.10;7.10;7.10,7.11;7.11,7.11;7.11;7.10;7.11;7.11;3.02;3.01,,3.01;3.02;3.02;3.02;3.02,2.96;3.01;3.02;2.99;3.01
test_matrix.wasm,FAIL;FAIL,FAIL;FAIL,FAIL;FAIL
test_memcpy.wasm,FAIL;FAIL,FAIL;FAIL,FAIL;FAIL
